title,budget,revenue,runtime,vote_average,popularity
Things to Come,2.1,0.282382,102.0,6.5,5.858112
Miracles from Heaven,16.0,73.883359,117.0,6.8,7.528099
Batman v Superman: Dawn of Justice,250.0,873.260194,151.0,5.7,31.435879
My Big Fat Greek Wedding 2,18.0,88.923251,94.0,5.6,6.344961
Everybody Wants Some!!,10.0,3.400278,116.0,6.3,6.737797
God's Not Dead 2,5.0,23.507567,121.0,5.6,5.957998
The Meddler,3.2,4.267218,100.0,6.0,5.510288
Demolition,10.0,1.978592,101.0,6.6,6.925667
The Huntsman: Winter's War,115.0,164.602163,114.0,6.0,17.260203
The Jungle Book,175.0,966.5506,106.0,6.7,17.432758
The Boss,29.0,78.636257,91.0,5.5,7.533146
Ratchet & Clank,20.0,8.821329,94.0,5.4,9.115939
Criminal,31.5,14.708696,113.0,5.8,10.038581
Fan,16.0,29.251596,142.0,6.2,5.127876
Green Room,5.0,3.220371,95.0,6.7,8.4702
Barbershop: The Next Cut,20.0,55.030051,112.0,6.2,8.468401
Flight Crew,10.0,27.305571,138.0,6.8,5.42046
Keanu,15.0,20.566327,94.0,6.0,7.942084
Bastille Day,20.0,14.397593,92.0,6.0,12.119295
A Hologram for the King,30.0,4.212494,97.0,5.8,9.104543
Captain America: Civil War,250.0,1153.304495,147.0,7.1,145.882135
Mother's Day,25.0,48.41816,118.0,5.8,8.309565
Term Life,16.5,0.021256,93.0,5.7,7.35578
Neighbors 2: Sorority Rising,35.0,108.758521,91.0,5.6,9.914008
24,10.0,15.0,164.0,7.1,1.264714
Florence Foster Jenkins,29.0,48.902953,110.0,6.7,10.829116
Café Society,30.0,43.763247,96.0,6.4,9.2467
The Angry Birds Movie,73.0,349.779543,97.0,5.9,11.171927
Money Monster,27.0,93.282604,98.0,6.5,11.953822
The Conjuring 2,40.0,320.170008,134.0,7.0,14.767317
The Darkness,4.0,10.898293,92.0,4.5,12.187189
The Nice Guys,50.0,62.788218,116.0,7.0,16.075615
X-Men: Apocalypse,178.0,543.934787,144.0,6.4,28.712522
Graduation,2.0,0.343617,127.0,6.7,2.840429
Elle,9.80469,2.341534,130.0,6.6,8.226065
Warcraft,160.0,433.677183,123.0,6.3,12.572718
Alice Through the Looking Glass,170.0,299.370084,113.0,6.5,14.61608
Love & Friendship,3.0,14.016568,94.0,6.4,12.822085
Teenage Mutant Ninja Turtles: Out of the Shadows,135.0,245.623848,112.0,5.8,13.047776
The Handmaiden,8.575,1.983204,145.0,8.1,16.727405
The BFG,140.0,183.345589,120.0,6.0,18.769476
Me Before You,20.0,207.945075,110.0,7.6,34.34759
Now You See Me 2,90.0,334.901337,129.0,6.7,39.540653
The Neon Demon,7.0,1.333124,117.0,6.4,13.410522
Te3n,5.069632,4.817642,136.0,6.8,1.434237
In the Forests of Siberia,3.5,1.492523,105.0,7.3,1.333969
Central Intelligence,50.0,216.972543,107.0,6.2,11.374041
Finding Dory,200.0,1028.570889,97.0,6.8,14.477677
Udta Punjab,5.98,14.9,149.0,7.4,4.195845
The Secret Life of Pets,75.0,875.457937,87.0,5.9,11.01395
Independence Day: Resurgence,165.0,389.681935,120.0,4.9,16.993841
Ice Age: Collision Course,105.0,408.579038,100.0,5.6,20.151037
Swiss Army Man,3.0,4.210454,97.0,6.8,9.196678
The Shallows,17.0,119.100758,86.0,6.2,13.689175
The Duel,10.0,0.0045,110.0,5.5,5.927867
Raman Raghav 2.0,0.521873,1.013926,127.0,7.1,1.668794
Free State of Jones,50.0,25.03595,139.0,6.6,10.223582
The Purge: Election Year,10.0,118.58788,105.0,6.1,13.1789
The Legend of Tarzan,180.0,356.743061,109.0,5.5,45.38298
Hillary's America: The Secret History of the Democratic Party,5.0,13.0,107.0,6.6,1.628629
Captain Fantastic,5.0,5.879736,119.0,7.9,16.519276
Sultan,10.4,102.0,170.0,7.0,6.070606
Mike and Dave Need Wedding Dates,33.0,77.068246,98.0,5.9,12.237571
Star Trek Beyond,185.0,343.471816,122.0,6.6,20.659284
Rock Dog,60.0,9.420546,90.0,5.8,6.55207
Big Fish & Begonia,4.531653,84.55225,100.0,6.3,2.238595
Sausage Party,19.0,140.705322,83.0,5.6,17.56963
The Infiltrator,25.0,15.436808,127.0,6.6,11.504398
Toni Erdmann,3.537415,1.390172,162.0,7.3,9.117054
Ghostbusters,144.0,229.147509,116.0,5.3,17.162744
Precious Cargo,10.5,0.100659,99.0,5.1,11.548303
Train to Busan,8.82,2.129768,118.0,7.7,22.685169
Batman: The Killing Joke,3.5,3.775,72.0,6.2,6.488277
Lights Out,4.9,148.868835,81.0,6.3,11.494907
Skiptrace,32.0,58.5,107.0,5.5,10.912208
Kabali,18.7,74.0,150.0,5.9,2.017961
Nerve,19.0,85.241496,96.0,7.1,14.9837
Jason Bourne,120.0,415.484914,123.0,5.9,19.133256
Bad Moms,20.0,183.936074,100.0,6.3,9.362056
Pelli Choopulu,0.2,5.5,124.0,7.8,0.902294
Shin Godzilla,15.0,77.0,120.0,6.6,9.285519
Suicide Squad,175.0,745.600054,123.0,5.9,42.965027
Nine Lives,30.0,57.814445,87.0,5.5,10.000208
Collide,21.5,4.811525,98.0,5.5,31.314013
Pete's Dragon,65.0,143.695338,102.0,6.2,12.189941
Mohenjo Daro,15.05,16.18,155.0,6.7,1.423358
Anthropoid,9.0,4.6,120.0,6.9,8.475983
Hell or High Water,12.0,37.589296,102.0,7.2,12.565896
War Dogs,40.0,86.234523,114.0,6.8,16.453573
Ben-Hur,100.0,94.061311,125.0,5.3,11.51021
Kubo and the Two Strings,60.0,69.929545,102.0,7.7,12.321832
Mechanic: Resurrection,40.0,125.729635,99.0,5.3,14.288577
Don't Breathe,9.9,157.100845,88.0,6.7,25.869883
The Hollars,3.8,1.016985,105.0,6.4,5.723985
Aquarius,0.762241,0.28593,140.0,7.5,4.860265
Morgan,8.0,8.810591,92.0,5.7,12.521071
The Light Between Oceans,20.0,25.956113,133.0,6.9,8.483245
White Girl,0.7,0.200242,88.0,5.5,6.021721
Sully,60.0,238.470033,96.0,7.0,18.275689
The Birth of a Nation,8.5,15.861566,120.0,6.4,5.933047
When the Bough Breaks,10.0,30.658387,97.0,5.3,17.046052
Paris Can Wait,5.0,6.7,92.0,6.4,8.966129
The Magnificent Seven,90.0,162.360636,132.0,5.9,13.809622
Bridget Jones's Baby,35.0,211.95242,123.0,6.3,10.754139
Blair Witch,5.0,45.172994,90.0,4.9,11.901343
31,1.5,0.77982,102.0,4.9,6.636625
Snowden,40.0,37.279439,134.0,7.0,14.384554
Storks,70.0,182.379278,87.0,6.7,12.687521
Smoke & Mirrors,5.0,2.387127,123.0,6.7,3.138159
Queen of Katwe,15.0,10.367161,124.0,7.1,6.164561
Miss Peregrine's Home for Peculiar Children,110.0,296.485719,127.0,6.5,36.262655
Deepwater Horizon,110.0,121.790373,107.0,6.5,13.1984
Masterminds,25.0,29.2,94.0,5.6,9.434588
The King's Choice,7.5,9.1,133.0,6.6,1.176258
The Duelist,12.823507,6.101904,110.0,6.0,2.981184
Denial,10.0,4.073489,109.0,6.5,10.754997
The Girl on the Train,45.0,173.185859,112.0,6.2,10.217291
Middle School: The Worst Years of My Life,8.5,19.985196,92.0,6.9,10.222143
A Quiet Passion,8.138338,1.864266,125.0,7.5,3.55933
Hacksaw Ridge,40.0,175.302354,140.0,7.8,21.037699
A Monster Calls,43.0,46.652768,108.0,6.8,24.483893
Raw,3.5,4.1,99.0,7.0,14.320893
My Life as a Zucchini,8.0,0.292279,66.0,7.7,7.321152
Trolls,125.0,346.864462,92.0,6.7,16.83711
Inferno,75.0,220.021259,121.0,5.7,18.311054
Max Steel,10.0,6.272403,92.0,5.1,6.703892
The Accountant,44.0,155.160045,128.0,6.9,13.465656
The Lost City of Z,30.0,8.574339,140.0,6.1,21.791111
Personal Shopper,6.0,1.305195,105.0,5.8,11.186981
Jack Reacher: Never Go Back,60.0,162.146076,118.0,5.3,15.60562
From the Land of the Moon,10.3,0.047748,120.0,6.7,6.165491
Ouija: Origin of Evil,9.0,81.705746,99.0,5.8,10.182974
Keeping Up with the Joneses,40.0,29.918745,105.0,5.9,9.48515
Aanandam,0.45,2.3,134.0,6.4,0.354748
Moonlight,4.0,65.046687,111.0,7.3,14.171675
I'm Not Ashamed,1.5,2.0,112.0,7.0,2.254096
Doctor Strange,165.0,677.718395,115.0,7.1,43.847654
Max & Leon,12.156348,7.9,98.0,6.7,5.662109
A Street Cat Named Bob,8.0,0.082703,103.0,7.5,9.609879
Bleed for This,6.0,6.174491,116.0,6.7,7.873407
Loving,9.0,8.996802,123.0,6.5,7.977391
Nocturnal Animals,22.5,29.252978,116.0,7.2,18.908782
Arrival,47.0,203.388186,113.0,7.2,30.83786
Billy Lynn's Long Halftime Walk,40.0,30.930984,113.0,5.9,8.009568
Almost Christmas,17.0,42.487325,111.0,5.4,7.288877
Shut In,10.0,13.082071,91.0,4.8,6.944457
Split,9.0,276.921998,117.0,7.0,28.920839
Fantastic Beasts and Where to Find Them,180.0,809.342332,133.0,7.2,41.051421
Paterson,5.0,2.152738,118.0,7.0,10.300307
Allied,85.0,119.520023,124.0,6.6,13.085186
Manchester by the Sea,9.0,75.026965,135.0,7.5,12.821257
The Edge of Seventeen,9.0,18.803648,104.0,7.3,9.51953
Sing,75.0,632.443719,108.0,6.8,20.045673
Rules Don't Apply,25.0,3.885342,127.0,5.9,8.167673
Bad Santa 2,26.0,17.782178,87.0,5.0,7.459161
Moana,150.0,643.034466,107.0,7.3,9.143457
The Founder,25.0,23.964782,115.0,7.0,17.523343
Dear Zindagi,4.3,3.376375,149.0,6.9,3.699552
Lion,12.0,140.302754,118.0,8.0,17.085145
Miss Sloane,13.0,3.500605,132.0,7.2,14.017754
Office Christmas Party,45.0,114.501299,105.0,5.4,8.228918
A United Kingdom,14.0,13.819139,111.0,6.5,6.249112
Underworld: Blood Wars,35.0,81.093313,91.0,5.2,20.02976
La La Land,30.0,445.4357,128.0,7.9,19.681686
Incarnate,5.0,6.341855,91.0,5.1,15.909181
Jackie,9.0,13.960394,100.0,6.5,8.362716
Collateral Beauty,36.0,87.416021,97.0,6.9,14.575883
Hidden Figures,25.0,230.698791,127.0,7.8,16.816834
Patriots Day,45.0,50.548152,133.0,6.8,14.547939
Ballerina,30.0,2.351359,89.0,7.1,16.53732
Rogue One: A Star Wars Story,200.0,1056.057273,133.0,7.4,36.567575
The Great Wall,150.0,331.957105,103.0,5.8,15.884744
Fences,24.0,64.414761,139.0,6.7,11.599716
Monster Trucks,125.0,64.493915,105.0,6.0,14.801195
Passengers,110.0,303.144152,116.0,6.7,20.303632
Assassin's Creed,125.0,240.697856,115.0,5.4,27.54107
Gold,20.0,7.227038,120.0,6.6,16.01076
Why Him?,38.0,118.034273,111.0,6.3,14.531429
Silence,46.0,23.737523,161.0,7.0,14.16938
Resident Evil: The Final Chapter,40.0,312.242626,107.0,5.9,0.75571
Railroad Tigers,50.0,102.205175,124.0,6.2,3.798504
Dangal,10.4,310.0,161.0,8.0,8.792104
Live by Night,108.0,22.678555,129.0,6.2,19.94393
20th Century Women,7.0,5.816211,119.0,7.3,9.855927
