title,budget,revenue,runtime,vote_average,popularity
Another Happy Day,4.0,0.355688,119.0,6.2,3.496577
The Muppets,45.0,165.184237,103.0,6.5,10.214369
Hugo,170.0,185.77016,126.0,7.0,14.046164
Sherlock Holmes: A Game of Shadows,125.0,334.615,129.0,7.0,18.695329
Rampart,12.0,0.972512,108.0,5.3,5.874878
Take Shelter,5.0,3.099314,120.0,7.1,5.59686
The Best Exotic Marigold Hotel,10.0,136.836156,124.0,6.9,9.23046
The Innkeepers,0.75,0.078396,102.0,5.4,8.560726
Mission: Impossible - Ghost Protocol,145.0,694.71338,133.0,6.8,14.25843
New Year's Eve,56.0,142.044638,118.0,5.7,6.948818
The Sitter,25.0,34.942188,81.0,5.4,13.105682
Louis C.K.: Live at the Beacon Theater,0.25,1.0,62.0,8.1,4.297654
Ghost Rider: Spirit of Vengeance,57.0,149.217355,95.0,4.7,9.421301
